No.,Title,Year,Decade,Detective,Series,Primary Setting,Murder Method,Key Themes,US Title (if different),Publication Notes
53,The Mirror Crack'd from Side to Side,1962,1960s,Miss Marple,Miss Marple #8,St. Mary Mead,Poisoning,"Film stars, past secrets",The Mirror Crack'd,
54,The Clocks,1963,1960s,Hercule Poirot,Poirot #29,English Seaside Town,Stabbing,"Clocks mystery, espionage",,
55,A Caribbean Mystery,1964,1960s,Miss Marple,Miss Marple #9,Caribbean Resort,Various,"Tropical setting, international guests",,
56,At Bertram's Hotel,1965,1960s,Miss Marple,Miss Marple #10,London Hotel,Shooting,"Traditional vs. modern, organized crime",,
57,Third Girl,1966,1960s,Hercule Poirot,Poirot #30,London (1960s),Various,"Generation gap, 1960s youth culture",,
58,Endless Night,1967,1960s,Michael Rogers,Standalone,Modern House,Accident/Murder,"Psychological thriller, class mobility",,Departure from traditional style
59,By the Pricking of My Thumbs,1968,1960s,Tommy & Tuppence,Tommy & Tuppence #3,English Countryside,Various,"Elderly care, missing persons",,
60,Hallowe'en Party,1969,1960s,Hercule Poirot,Poirot #31,English Village,Drowning,"Children's party, child murder",,
61,Passenger to Frankfurt,1970,1970s,Sir Stafford Nye,Standalone,International,Various,"International terrorism, political thriller",,Departure from detective fiction
62,Nemesis,1971,1970s,Miss Marple,Miss Marple #11,English Countryside,Various,"Past crime, posthumous investigation",,Sequel to A Caribbean Mystery
63,Elephants Can Remember,1972,1970s,Hercule Poirot,Poirot #32,English Setting,Various,"Memory, past investigation",,Shows signs of Christie's age
64,Postern of Fate,1973,1970s,Tommy & Tuppence,Tommy & Tuppence #4,English Country House,Various,"Elderly detectives, past secrets",,Christie's final novel
65,Curtain,1975,1970s,Hercule Poirot,Poirot #33,Styles Court,Various,"Poirot's death, return to origins",,"Written in 1940s, held for publication"
66,Sleeping Murder,1976,1970s,Miss Marple,Miss Marple #12,English Seaside Town,Strangulation,"Miss Marple's final case, past murder",,"Written in 1940s, published posthumously"
